Earnings for Year,Rounds Played,Cuts Made,Top 10 Finishes,Wins,Average Score,Average Driving Distance,Driving Accuracy Percentage,Greens in Regulation Percentage,Putts Per Hole,Save Percentage,Birdies Per Round
14046910,84,20,11,4,68.9,311.6,60.0,72.3,1.72,49.5,4.595
10107897,62,14,7,3,68.9,299.7,57.5,68.0,1.679,52.2,4.629
9684006,74,20,9,3,69.2,309.0,61.8,70.0,1.752,58.4,4.284
9405082,76,17,9,1,69.6,314.7,55.4,70.9,1.734,49.0,4.316
9369605,68,17,12,2,69.0,308.0,60.6,69.3,1.732,57.7,4.441
8694821,82,21,10,3,69.1,311.8,58.4,68.8,1.714,54.3,4.341
8654566,60,14,10,3,68.9,321.3,58.1,69.9,1.739,61.6,4.533
8457352,74,19,12,3,68.5,314.0,59.5,70.6,1.699,52.2,4.703
8130678,66,17,11,2,69.0,303.5,66.0,69.9,1.732,61.2,4.53
8094489,93,22,9,3,69.6,305.7,62.2,69.7,1.758,48.7,4.204
7785286,68,17,14,3,69.0,313.5,61.8,68.5,1.701,55.3,4.485
7705933,77,21,15,1,69.0,309.0,63.7,71.9,1.733,55.6,4.506
7638805,78,20,7,4,69.4,302.8,60.7,70.2,1.746,59.4,4.295
7427299,72,18,7,3,68.9,308.5,62.2,70.5,1.725,64.9,4.319
7426415,80,20,9,2,69.6,323.7,54.2,67.2,1.74,49.1,4.5
7344040,66,15,10,3,68.8,304.2,57.3,69.6,1.722,62.5,4.545
7094047,62,16,6,2,69.4,313.4,56.8,68.3,1.747,53.8,4.194
7073986,80,17,8,3,69.4,309.6,55.4,68.7,1.721,49.6,4.325
7059908,78,20,8,2,69.7,295.2,69.6,70.8,1.73,53.9,4.231
7012672,70,17,10,1,69.5,303.8,63.4,66.8,1.787,63.9,3.686
6829576,76,19,10,1,68.8,314.3,54.8,68.3,1.718,62.7,4.579
6537153,84,21,7,1,69.5,303.9,55.7,67.8,1.711,56.1,4.31
6520598,82,18,7,0,69.6,319.3,58.7,64.9,1.728,48.2,4.415
6470482,88,21,9,1,69.9,299.5,53.9,64.6,1.708,55.9,4.295
6306679,74,20,8,0,69.7,297.8,63.5,67.6,1.747,59.1,3.865
6294690,80,20,8,2,69.6,289.5,67.4,69.4,1.748,60.8,4.013
6200481,92,22,8,2,69.6,299.4,64.3,65.8,1.718,52.9,4.261
6121488,72,18,9,1,69.2,304.7,57.3,67.2,1.721,58.0,4.403
6117886,86,20,7,2,69.2,308.0,58.0,71.3,1.752,51.1,4.221
5959819,58,14,8,2,68.8,307.6,63.1,70.3,1.717,58.8,4.224
5851867,82,21,8,1,69.5,297.9,59.2,65.7,1.689,63.2,4.476
5837267,49,11,7,3,68.9,311.0,59.1,69.3,1.704,54.2,4.347
5816565,98,24,9,1,69.5,290.4,71.1,69.3,1.732,50.8,4.204
5793748,79,19,6,3,70.1,313.1,58.3,68.2,1.773,44.2,3.747
5776298,72,17,6,2,69.5,304.7,59.4,68.3,1.745,54.9,4.181
5740097,90,22,8,1,69.8,305.5,56.3,67.1,1.722,55.3,4.156
5690965,84,21,8,1,69.8,308.2,63.4,69.0,1.759,50.4,4.381
5620138,98,25,11,0,69.5,315.1,55.1,70.2,1.735,44.4,4.133
5609456,74,18,6,2,69.6,304.1,60.3,68.4,1.744,55.6,4.081
5567974,88,21,9,1,69.2,303.7,65.5,70.8,1.762,56.9,3.989
5534619,70,18,7,1,69.9,312.0,55.6,67.0,1.737,63.9,4.214
5443841,68,16,7,1,69.6,303.6,59.3,67.4,1.744,48.1,4.029
5376417,92,23,9,1,69.3,293.7,62.3,67.9,1.741,62.9,3.587
5289842,82,20,5,2,69.9,306.3,60.6,66.0,1.747,51.6,3.939
5250868,80,19,7,2,69.6,297.3,65.5,69.0,1.749,54.0,4.05
5248220,70,18,8,1,69.6,318.9,62.5,71.6,1.768,40.8,4.171
5240653,76,20,8,0,69.7,307.6,58.8,68.6,1.728,64.7,4.276
5204136,66,13,8,1,69.7,310.7,56.6,68.0,1.731,65.4,4.212
5160030,84,19,8,1,69.6,305.3,58.9,67.8,1.71,51.8,4.429
5118629,88,21,5,2,70.0,307.9,60.2,69.2,1.745,52.2,4.284
5097742,52,12,8,2,68.1,296.2,67.3,70.8,1.691,56.3,4.673
5087461,68,18,5,2,69.7,310.0,58.3,65.3,1.716,62.5,4.176
5076060,80,19,5,1,69.5,309.1,56.7,67.9,1.729,55.2,4.15
5065842,70,17,5,2,69.9,301.0,65.0,70.2,1.78,47.9,3.771
5048772,83,22,7,1,69.8,302.2,63.9,68.6,1.743,51.0,4.398
5018444,74,17,6,1,69.7,308.4,56.0,67.4,1.748,51.4,4.068
5013084,72,18,7,1,69.0,302.2,60.0,70.7,1.716,52.6,4.583
5006267,86,20,7,1,70.2,298.1,55.1,63.6,1.746,56.7,3.756
5001136,72,17,9,1,69.6,312.9,57.9,66.7,1.72,55.6,4.25
4998495,62,14,9,1,68.8,322.1,57.4,68.5,1.726,62.9,4.419
4990110,68,18,12,1,69.4,305.6,62.5,69.0,1.736,52.8,4.353
4963594,93,22,3,1,70.2,299.9,62.2,67.0,1.745,48.5,4.065
4940600,70,16,5,1,69.8,297.3,65.1,68.2,1.768,56.3,3.8
4868461,70,17,5,1,69.7,308.4,61.9,67.0,1.731,45.5,4.371
4837271,60,14,8,0,69.6,301.8,65.3,68.6,1.746,47.2,4.033
4722434,98,19,5,1,70.8,303.0,59.9,66.6,1.784,50.0,3.561
4690572,78,20,6,0,69.1,288.6,66.8,65.8,1.726,63.0,3.859
4595187,87,21,6,1,70.1,300.3,52.9,64.9,1.699,58.6,4.31
4505589,98,24,8,0,69.8,305.0,63.5,68.1,1.719,48.0,4.388
4439420,64,15,7,1,68.8,300.2,63.9,66.9,1.728,59.8,4.375
4410296,61,14,7,1,69.5,319.7,55.8,66.3,1.736,52.4,4.0
4408415,60,15,7,1,69.1,314.0,56.3,67.8,1.738,45.2,4.2
4391809,74,18,7,1,70.1,319.3,57.4,65.8,1.727,53.0,4.514
4358849,62,16,7,1,69.9,303.2,60.1,64.8,1.71,61.7,4.065
4344380,84,20,6,0,69.8,309.5,56.9,67.5,1.756,49.4,3.905
4337811,94,21,7,1,69.6,300.5,64.5,67.1,1.734,58.8,4.149
4315200,82,17,6,1,69.8,295.4,67.8,71.7,1.757,51.7,3.915
4310046,96,19,6,1,69.9,298.1,61.6,66.3,1.757,52.0,3.917
4258579,84,21,8,1,69.3,296.7,65.5,70.5,1.741,54.9,4.226
4257040,75,18,7,1,69.7,298.4,67.7,71.0,1.748,43.7,3.867
4250060,74,17,8,1,69.4,296.0,56.1,65.3,1.7,60.6,4.23
4235237,74,17,6,0,69.4,299.8,65.3,69.5,1.744,60.5,4.0
4157182,122,30,5,0,69.8,297.1,69.1,69.1,1.746,51.5,4.082
4084541,61,14,9,0,69.7,299.3,59.9,68.9,1.746,55.4,4.279
4069464,93,23,5,1,70.2,299.6,67.9,69.2,1.784,45.2,3.645
4047538,93,22,7,0,70.4,304.9,59.8,65.6,1.763,48.4,3.806
4030906,86,22,6,1,70.5,294.7,65.7,66.5,1.757,51.9,3.686
4019044,78,18,6,1,70.1,291.4,63.2,62.1,1.71,61.7,4.0
4007567,104,25,8,0,69.9,295.4,70.2,69.9,1.746,46.7,3.99
3992678,66,16,5,1,69.7,308.9,59.2,70.1,1.747,48.5,4.439
3963962,80,21,7,1,69.9,303.1,61.6,70.7,1.781,53.9,3.825
3945810,76,18,6,1,69.8,303.1,60.6,67.8,1.726,54.8,4.039
3936912,102,26,5,0,69.7,310.6,59.2,68.6,1.74,51.0,4.137
3935147,66,18,6,0,69.5,306.9,65.0,69.4,1.745,51.7,4.318
3933593,96,17,7,0,69.9,306.0,54.8,65.4,1.739,55.1,3.948
3916001,88,20,5,0,70.3,295.7,71.3,71.1,1.781,46.2,3.818
3886577,72,17,7,1,70.0,296.2,59.4,67.2,1.755,58.2,3.889
3876590,87,20,4,0,69.7,302.7,66.8,71.9,1.782,45.6,3.862
3853651,64,18,6,0,69.9,298.7,64.0,66.9,1.782,63.5,3.531
3813636,70,17,7,0,69.0,305.4,60.3,70.9,1.737,56.4,4.243
3771221,90,22,6,0,70.1,298.5,60.2,66.7,1.749,48.8,3.956
3757424,66,12,5,0,70.2,290.4,65.5,67.2,1.752,49.5,3.833
3718990,71,16,4,1,69.5,304.4,61.9,69.3,1.733,58.9,4.099
3665825,74,17,5,0,69.4,304.4,57.0,68.5,1.755,55.0,4.041
3660909,92,22,6,1,69.8,287.0,75.7,67.9,1.737,48.9,4.011
3641771,71,17,5,1,70.0,304.3,63.1,67.8,1.775,54.5,3.775
3625982,87,20,5,1,69.9,288.5,66.6,64.1,1.739,59.6,4.0
3623137,80,18,6,0,70.2,307.5,59.8,66.2,1.754,47.7,3.788
3622607,78,18,7,0,70.4,298.4,57.0,63.2,1.745,56.5,3.692
3616679,58,14,4,0,69.7,306.9,61.4,67.9,1.767,67.1,3.69
3596319,90,19,3,2,70.1,306.6,56.4,69.4,1.76,56.9,3.933
3593844,88,22,5,1,69.8,296.8,60.1,66.2,1.731,58.8,3.977
3578316,86,20,4,1,69.9,289.6,64.1,64.7,1.722,61.5,3.907
3541151,89,18,4,2,70.4,298.7,55.6,69.0,1.764,46.8,3.775
3490098,41,9,4,1,70.5,0.0,0.0,0.0,0.0,0.0,0.0
3489144,86,22,5,1,70.0,286.4,69.4,67.0,1.76,45.8,3.674
3487352,87,21,8,0,69.9,307.4,56.4,69.5,1.777,48.1,3.816
3486407,88,16,4,1,70.1,302.9,63.3,68.8,1.748,47.9,4.114
3467143,54,14,3,1,71.1,288.7,66.4,63.6,1.786,65.3,3.204
3454521,86,19,4,0,69.4,308.3,59.2,69.1,1.748,43.0,4.07
3448578,86,19,5,1,70.6,300.8,58.4,63.9,1.728,52.4,3.93
3435368,62,14,2,0,71.2,294.1,62.9,64.8,1.775,45.9,3.484
3434867,42,10,6,1,69.1,301.6,61.7,69.3,1.704,43.2,4.548
3390258,86,18,4,2,69.7,282.7,71.4,65.5,1.736,61.6,3.907
3347180,98,21,2,1,70.2,302.5,62.2,65.8,1.755,53.4,3.704
3335137,88,22,7,0,69.5,303.0,61.3,69.4,1.753,53.7,4.295
3299366,76,18,6,0,69.1,300.9,61.7,70.9,1.749,51.3,4.026
3292443,88,15,4,1,69.8,298.2,59.4,66.7,1.771,53.3,3.716
3245928,94,20,5,1,70.4,296.3,62.7,65.8,1.755,46.5,3.894
3226839,91,21,6,0,69.9,292.2,66.6,67.1,1.776,61.9,3.516
3221821,100,24,5,0,69.8,291.7,66.9,64.3,1.729,59.1,3.91
3199615,41,0,4,1,63.4,0.0,0.0,0.0,0.0,0.0,0.0
3190793,94,19,6,0,69.9,307.6,61.9,67.0,1.727,47.8,4.149
3188586,92,21,4,1,70.1,302.5,57.2,65.5,1.753,54.5,3.87
3186232,72,17,5,1,69.8,302.5,65.0,66.2,1.733,52.3,4.167
3129666,72,18,7,0,70.1,303.9,62.2,68.8,1.771,47.2,3.903
3124668,113,26,5,0,70.0,304.3,54.0,66.5,1.758,45.2,3.832
3122936,99,24,6,0,70.2,287.2,63.2,64.9,1.746,62.3,3.737
3109752,61,13,3,1,71.2,295.8,51.9,61.5,1.77,42.1,3.393
3108907,91,21,3,1,70.2,313.5,63.7,70.5,1.794,41.5,3.802
3107047,76,18,4,1,70.9,293.8,58.5,65.7,1.771,60.0,3.553
3100241,78,16,5,0,69.7,301.0,61.8,68.7,1.753,52.8,3.949
3085133,106,22,3,1,70.7,298.4,63.1,64.3,1.756,54.0,3.642
3084598,72,12,3,0,70.6,298.2,61.9,64.9,1.767,50.0,3.486
3068341,86,20,6,0,69.5,311.8,61.8,67.6,1.777,54.6,4.058
3050519,92,19,5,0,70.3,301.9,58.6,67.5,1.765,41.4,3.761
3049763,99,24,5,0,70.0,306.5,57.1,67.8,1.736,47.3,4.202
3039049,91,21,5,1,69.7,302.8,62.8,70.5,1.763,47.5,3.846
2998555,74,15,4,1,69.9,309.4,61.2,70.0,1.773,49.6,3.959
2972285,78,18,4,0,70.4,290.8,66.3,65.4,1.766,44.0,3.436
2962641,75,19,4,1,70.6,290.9,65.1,67.8,1.765,47.2,3.853
2952177,78,17,4,1,70.7,289.1,67.6,65.0,1.747,48.7,3.718
2951152,95,19,3,1,70.3,294.7,64.1,67.0,1.752,44.1,3.811
2932286,72,16,7,0,69.4,309.8,51.8,68.8,1.73,47.7,4.194
2919864,86,16,4,1,70.2,297.3,66.9,73.1,1.79,51.8,3.791
2914136,76,15,4,1,69.9,301.7,56.5,69.3,1.767,51.4,3.921
2913198,72,18,5,0,70.1,312.4,55.3,67.7,1.742,52.7,4.014
2903306,74,17,4,0,69.6,297.5,64.4,67.0,1.743,49.2,3.797
2882771,100,22,5,0,69.8,291.6,64.5,65.3,1.744,57.7,3.62
2874008,56,14,5,0,69.8,301.5,59.4,65.7,1.754,62.2,3.768
2873316,66,15,6,1,70.0,298.6,60.7,68.4,1.754,42.7,4.212
2864142,84,16,5,1,69.9,302.3,60.4,66.3,1.748,50.0,4.048
2851134,118,26,7,0,69.6,295.9,65.5,67.6,1.736,48.9,4.068
2849792,64,16,3,0,70.2,305.7,54.6,64.1,1.728,58.9,3.875
2837505,78,19,4,0,69.5,298.7,67.5,70.9,1.738,39.1,4.205
2833438,82,18,7,0,69.3,308.9,61.2,69.0,1.737,49.0,4.354
2824580,0,10,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2801650,84,17,4,1,70.7,300.5,60.7,66.1,1.777,57.7,3.655
2797925,89,18,3,0,69.9,303.9,60.4,69.6,1.765,47.1,3.753
2794402,71,15,4,1,70.1,286.9,62.7,63.2,1.733,55.6,3.803
2793536,76,18,5,0,69.5,299.8,61.6,70.5,1.755,51.3,4.158
2783012,74,18,6,0,69.2,292.5,67.1,69.4,1.734,61.7,4.338
2768863,99,23,7,0,70.1,300.0,60.1,67.7,1.74,46.1,3.939
2746956,94,21,3,1,70.3,309.0,56.1,65.3,1.738,49.0,4.17
2734720,80,15,3,1,70.5,314.8,55.1,69.7,1.807,47.6,3.663
2733463,90,22,8,0,70.5,291.9,67.1,67.6,1.767,47.2,3.733
2724926,68,15,5,0,70.0,299.3,60.1,65.9,1.742,50.0,3.985
2714450,64,16,4,1,70.6,293.6,66.4,67.0,1.766,50.4,3.75
2710736,95,20,5,0,70.3,314.6,54.7,68.4,1.794,52.2,3.863
2707199,74,14,1,1,71.9,301.8,54.5,63.0,1.787,47.7,3.716
2700018,86,19,3,0,70.2,286.5,72.2,68.7,1.767,43.1,3.709
2699150,60,14,3,0,70.4,299.2,61.7,64.9,1.782,51.9,3.467
2689754,88,22,4,0,69.8,307.4,57.9,66.8,1.721,48.6,4.102
2688625,88,20,4,0,70.0,293.3,70.2,66.8,1.749,46.6,3.886
2687477,72,19,4,0,69.8,302.0,62.8,69.3,1.754,52.0,3.944
2682104,92,20,3,1,70.2,303.0,60.4,67.0,1.739,43.4,3.891
2680487,56,14,5,0,69.7,291.5,75.2,73.5,1.8,55.6,3.643
2679915,86,21,6,0,69.5,292.4,67.6,70.1,1.748,50.4,4.012
2669938,68,16,3,0,70.1,275.0,74.4,69.3,1.785,53.4,3.456
2642179,80,15,5,1,70.7,291.1,62.9,65.6,1.756,42.6,3.5
2637480,64,15,6,0,70.0,302.0,61.8,69.7,1.747,52.4,4.0
2636597,76,19,4,0,70.6,299.6,59.9,68.3,1.766,48.0,3.908
2613965,90,21,7,0,69.7,296.1,66.1,68.1,1.762,59.1,3.956
2599264,84,19,4,0,70.3,307.9,60.2,68.0,1.791,48.9,3.655
2577704,96,20,4,1,70.6,294.9,64.1,66.7,1.766,51.8,3.833
2574396,90,20,5,0,70.1,297.2,63.7,67.8,1.763,59.2,3.822
2572089,86,18,4,0,70.2,300.2,65.0,70.0,1.783,50.0,3.767
2558440,54,10,2,1,71.3,307.3,50.8,57.8,1.73,63.7,3.741
2545330,84,19,5,0,69.6,289.8,67.1,69.4,1.764,59.3,3.726
2539183,64,16,5,0,70.2,296.3,66.9,66.8,1.751,58.1,3.922
2520845,73,13,4,0,70.4,293.9,65.9,67.7,1.763,52.9,3.822
2507324,55,13,2,0,70.9,315.9,51.0,64.9,1.754,46.6,3.836
2496677,102,23,3,1,70.4,304.0,55.6,65.7,1.759,52.8,3.676
2493163,92,22,6,0,70.0,295.2,70.2,68.8,1.754,54.8,3.891
2485203,107,22,3,1,70.2,283.5,73.6,68.2,1.773,52.5,3.664
2461215,96,21,3,1,70.0,293.8,62.9,66.8,1.743,52.8,3.906
2449869,70,18,5,0,70.0,295.1,67.9,70.2,1.773,56.9,3.771
2449707,104,24,5,0,70.2,300.0,60.5,67.9,1.748,54.2,3.788
2448970,82,17,4,1,70.2,293.1,62.8,65.0,1.743,56.7,3.622
2448920,107,24,3,1,70.1,292.3,66.8,66.5,1.756,53.4,3.916
2440221,60,0,2,1,71.1,306.3,50.8,64.2,1.756,55.1,3.917
2439137,76,18,3,0,70.3,281.5,60.6,65.9,1.701,61.0,4.158
2428609,92,21,4,0,69.8,297.5,61.2,67.6,1.729,57.6,4.109
2405360,83,17,3,1,70.4,303.2,60.4,67.3,1.774,50.7,3.88
2387382,89,21,5,1,70.1,293.8,60.4,70.5,1.783,48.8,3.629
2383908,79,17,6,0,70.0,299.3,62.8,66.2,1.738,50.0,3.924
2382298,93,22,6,0,69.8,289.4,66.9,66.9,1.738,55.6,4.032
2372487,64,13,2,1,70.3,299.8,54.5,64.1,1.736,57.5,3.859
2362399,82,17,2,1,70.6,285.0,64.8,64.2,1.765,57.4,3.488
2330212,90,23,5,0,70.0,306.4,62.7,68.8,1.761,47.5,4.044
2300050,80,16,2,1,70.4,303.8,55.3,67.0,1.78,50.0,3.563
2291128,67,16,3,1,71.0,310.3,60.5,69.2,1.817,48.0,3.478
2290839,70,15,2,1,70.4,322.0,56.4,67.7,1.775,48.2,4.043
2283951,75,15,5,0,70.3,305.7,54.3,65.8,1.756,50.7,3.827
2272434,38,9,1,1,69.7,308.1,55.5,68.1,1.74,55.1,3.789
2266752,73,15,4,0,69.8,289.2,65.2,65.4,1.743,50.9,3.795
2257309,60,14,3,1,70.9,289.6,64.0,64.4,1.767,55.3,3.417
2224348,74,16,2,0,70.4,311.6,59.0,66.8,1.772,43.5,3.865
2195131,62,14,6,0,69.6,305.4,60.0,68.2,1.753,47.6,4.065
2191808,82,16,5,0,70.2,292.4,62.9,64.9,1.729,56.6,4.122
2187249,92,24,4,0,70.3,291.8,64.7,67.6,1.762,47.9,3.609
2186913,88,18,3,0,70.0,292.0,62.5,67.7,1.756,45.2,3.784
2162306,58,15,6,0,70.3,291.5,63.6,66.9,1.736,62.0,4.103
2147065,71,15,2,1,71.2,306.7,56.5,65.6,1.786,53.1,3.761
2120973,79,18,5,0,70.2,295.4,64.6,63.9,1.747,50.7,3.684
2118336,46,11,3,0,69.6,303.1,59.4,68.4,1.723,55.4,4.152
2109709,54,12,5,0,70.2,294.7,64.6,66.0,1.734,47.2,3.667
2083038,32,0,2,1,61.8,0.0,0.0,0.0,0.0,0.0,0.0
2079951,70,12,4,0,70.3,298.7,55.8,63.4,1.735,54.4,3.714
2043764,69,13,3,0,70.2,302.0,57.1,65.6,1.75,53.1,4.058
1982275,74,17,3,1,69.7,299.3,63.2,68.5,1.726,45.5,3.973
1943898,53,10,5,0,70.1,299.7,55.9,64.8,1.746,65.5,3.755
1897539,59,11,2,1,70.3,296.6,64.2,66.9,1.757,46.3,3.559
1868952,56,13,1,0,69.9,307.2,63.6,70.6,1.774,47.5,3.643
1857073,74,13,3,0,70.3,290.4,60.6,65.6,1.768,43.3,3.77
1840473,86,19,3,0,69.8,290.1,62.8,66.7,1.734,47.3,3.744
1799855,83,16,1,1,70.3,286.3,69.9,67.5,1.763,43.0,3.699
1739131,64,14,3,0,70.0,303.6,59.9,68.1,1.762,49.5,3.859
1716407,56,12,3,1,70.1,298.1,58.0,66.7,1.729,50.9,3.893
1710808,65,15,3,0,70.1,294.0,64.5,68.3,1.755,65.0,3.646
